店舗kintone,経度,緯度,DM店舗名,住所,shop_id,アナスロ店舗名,都道府県,ホールナビ店舗名
P12271,136.636608,34.9863571,MGM四日市店,三重県四日市市富士町2-39,12612,MGM四日市店,三重県,MGM四日市店
P05586,,,APULO塩尻北インター店,長野県塩尻市大字広丘吉田648-7,5586,APULO塩尻北インター店,長野県,APULO塩尻北インター店
P08061,135.611537,34.6552684,マジックバード若江,大阪府東大阪市若江東町2-7-48,8061,マジックバード若江,大阪府,マジックバード若江
P01084,141.36764,43.1139882,ベガスベガス栄町店,北海道札幌市東区北42条東16-1-5イオン札幌栄町店2階,1084,ベガスベガス栄町店,北海道,ベガスベガス栄町店
P05754,136.892405,35.1576991,タイホウ名駅南店,愛知県名古屋市中川区松重町4-35,5754,タイホウ名駅南店,愛知県,タイホウ名駅南店
P03957,140.837312,35.7338623,パールショップともえ新生店,千葉県銚子市新生町1-20-38,3957,パールショップともえ新生店,千葉県,パールショップともえ新生店
P12084,139.955596,36.4348445,つばめザ・ブーム,栃木県真岡市上大沼1-1-3,12428,つばめザ・ブーム,栃木県,つばめザ・ブーム
P00583,139.652322,35.758216,ミリオン平和台16号店,東京都練馬区北町6-32-3,583,ミリオン平和台16号店,東京都,ミリオン平和台16号店
P03775,139.551244,35.8391052,第一プラザみずほ台店,埼玉県富士見市東みずほ台2-1-10,3775,第一プラザみずほ台店,埼玉県,第一プラザみずほ台店
P06726,136.602304,34.9887837,キング観光サウザンド生桑店,三重県四日市市生桑町桑花120-1,6726,キング観光サウザンド生桑店,三重県,キング観光サウザンド生桑店
P05592,137.953907,36.1362833,マルハン塩尻店,長野県塩尻市広丘堅石2145-151,5592,マルハン塩尻店,長野県,マルハン塩尻店
P08098,135.629862,34.6808578,マルハン水走店,大阪府東大阪市水走３丁目５番４５号,8098,マルハン水走店,大阪府,マルハン水走店
P02164,140.98367,38.2727799,マルハン仙台新港店,宮城県仙台市宮城野区中野4丁目10-11,2164,マルハン仙台新港店,宮城県,マルハン仙台新港店
P01793,140.023393,40.1885063,マルハン能代店,秋田県能代市字昇平岱３０番２３,1793,マルハン能代店,秋田県,マルハン能代店
P07455,135.458583,34.7312432,マルハン加島店,大阪府大阪市淀川区加島２丁目７番３８号,7455,マルハン加島店,大阪府,マルハン加島店
P11872,139.469667,35.9320839,ゴープラ川越店,埼玉県川越市大字上寺山526-1,12209,ゴープラ川越店,埼玉県,ゴープラ川越店
P05774,136.812812,35.14138,プレイランドトミダ,愛知県名古屋市中川区春田3-194,5774,プレイランドトミダ,愛知県,プレイランドトミダ
P05591,137.958935,36.1277113,キング塩尻店,長野県塩尻市広丘高出1758-1,5591,キング塩尻店,長野県,キング塩尻店
P12325,135.566224,34.6779589,キコーナ高井田店,大阪府東大阪市高井田本通5-3-27,12681,キコーナ高井田店,大阪府,キコーナ高井田店
P02155,140.905587,38.2735204,アムズガーデン幸町店,宮城県仙台市宮城野区幸町5-12-12,2155,アムズガーデン幸町店,宮城県,アムズガーデン幸町店
